label	text
spam	Special promotion available now
spam	Claim your reward by calling now
spam	Limited time deal on delivery
ham	Reminder about your subscription
ham	Let's catch up tomorrow
ham	Let's catch up at 5 pm
spam	Urgent update regarding your account
ham	Can you call me this evening
ham	Family dinner at 5 pm
spam	Exclusive offer ends today
spam	Special promotion available now
ham	Family dinner at 5 pm
ham	Can you call me this evening
spam	Congratulations you have won account
ham	Family dinner tomorrow
ham	Let's catch up next week
spam	Act now to get free benefits
ham	Can you call me at 5 pm
spam	Claim your reward by calling now
spam	Limited time deal on meeting
ham	Reminder about your invoice
spam	Congratulations you have won order
ham	Meeting scheduled for today
spam	Congratulations you have won invoice
spam	Free subscription offer just for you
spam	Special promotion available now
spam	You are selected for a lucky draw
spam	Special promotion available now
ham	Please review the payment document
ham	Family dinner this evening
spam	Special promotion available now
spam	You are selected for a lucky draw
spam	Urgent update regarding your account
spam	Free meeting offer just for you
ham	Thanks for the update on account
ham	Project update regarding report
ham	Let's catch up next week
ham	Family dinner this evening
ham	Let's catch up at 5 pm
spam	Act now to get free benefits
spam	Urgent update regarding your account
ham	Family dinner today
spam	Special promotion available now
spam	Act now to get free benefits
ham	Please review the order document
ham	Your order for invoice has been shipped
spam	Congratulations you have won payment
spam	Act now to get free benefits
ham	Appointment confirmed for today
spam	Congratulations you have won meeting
ham	Project update regarding invoice
ham	Meeting scheduled for today
spam	Free invoice offer just for you
ham	Thanks for the update on report
ham	Reminder about your subscription
spam	Congratulations you have won report
ham	Family dinner at 5 pm
spam	Act now to get free benefits
ham	Thanks for the update on meeting
spam	Limited time deal on delivery
ham	Thanks for the update on payment
spam	Claim your reward by calling now
spam	You are selected for a lucky draw
spam	Free account offer just for you
spam	Special promotion available now
ham	Meeting scheduled for this evening
spam	Limited time deal on order
ham	Reminder about your subscription
spam	Act now to get free benefits
ham	Family dinner this evening
spam	You are selected for a lucky draw
ham	Reminder about your report
ham	Reminder about your meeting
spam	You are selected for a lucky draw
ham	Meeting scheduled for at 5 pm
ham	Project update regarding invoice
spam	Congratulations you have won invoice
ham	Let's catch up today
ham	Project update regarding meeting
ham	Reminder about your account
spam	Claim your reward by calling now
spam	Congratulations you have won delivery
spam	Urgent update regarding your account
ham	Please review the subscription document
ham	Meeting scheduled for next week
spam	Special promotion available now
ham	Appointment confirmed for at 5 pm
spam	Urgent update regarding your account
ham	Reminder about your account
spam	Congratulations you have won subscription
spam	Exclusive offer ends today
ham	Let's catch up at 5 pm
ham	Please review the payment document
spam	Claim your reward by calling now
spam	Act now to get free benefits
ham	Appointment confirmed for tomorrow
ham	Please review the payment document
spam	Congratulations you have won meeting
spam	Claim your reward by calling now
ham	Appointment confirmed for today
spam	Act now to get free benefits
spam	You are selected for a lucky draw
ham	Reminder about your subscription
ham	Meeting scheduled for at 5 pm
ham	Appointment confirmed for today
ham	Please review the payment document
spam	Claim your reward by calling now
spam	You are selected for a lucky draw
ham	Appointment confirmed for tomorrow
ham	Your order for subscription has been shipped
ham	Can you call me today
spam	Congratulations you have won invoice
ham	Family dinner today
ham	Reminder about your meeting
spam	Urgent update regarding your account
ham	Project update regarding order
spam	Urgent update regarding your account
spam	Claim your reward by calling now
ham	Reminder about your payment
spam	Congratulations you have won meeting
spam	Claim your reward by calling now
ham	Appointment confirmed for today
ham	Your order for meeting has been shipped
ham	Your order for payment has been shipped
spam	Act now to get free benefits
spam	Special promotion available now
ham	Thanks for the update on report
ham	Appointment confirmed for this evening
spam	Limited time deal on payment
spam	You are selected for a lucky draw
ham	Let's catch up today
spam	Urgent update regarding your account
spam	You are selected for a lucky draw
ham	Can you call me this evening
spam	Claim your reward by calling now
ham	Let's catch up tomorrow
spam	Congratulations you have won order
ham	Reminder about your meeting
spam	Congratulations you have won invoice
ham	Let's catch up at 5 pm
ham	Project update regarding payment
ham	Can you call me at 5 pm
ham	Appointment confirmed for tomorrow
spam	Act now to get free benefits
spam	Special promotion available now
spam	Congratulations you have won account
spam	Claim your reward by calling now
ham	Family dinner today
spam	Free order offer just for you
spam	Limited time deal on payment
ham	Thanks for the update on report
ham	Thanks for the update on subscription
spam	Act now to get free benefits
spam	Special promotion available now
spam	Exclusive offer ends today
spam	Special promotion available now
ham	Family dinner next week
ham	Thanks for the update on order
spam	Exclusive offer ends today
spam	Win cashback on your purchase
ham	Project update regarding order
ham	Please review the meeting document
ham	Let's catch up this evening
ham	Let's catch up next week
spam	Limited time deal on payment
spam	Congratulations you have won account
ham	Project update regarding account
spam	Act now to get free benefits
ham	Project update regarding meeting
spam	Act now to get free benefits
spam	Special promotion available now
spam	You are selected for a lucky draw
spam	Special promotion available now
spam	Exclusive offer ends today
ham	Appointment confirmed for tomorrow
ham	Thanks for the update on order
ham	Let's catch up at 5 pm
spam	Exclusive offer ends today
ham	Your order for report has been shipped
ham	Project update regarding meeting
spam	Limited time deal on meeting
spam	Urgent update regarding your account
ham	Your order for invoice has been shipped
ham	Please review the invoice document
ham	Your order for invoice has been shipped
ham	Meeting scheduled for today
spam	Claim your reward by calling now
ham	Project update regarding delivery
spam	Claim your reward by calling now
spam	Limited time deal on meeting
ham	Family dinner tomorrow
ham	Appointment confirmed for next week
spam	Free delivery offer just for you
ham	Thanks for the update on report
spam	Act now to get free benefits
ham	Family dinner tomorrow
spam	Limited time deal on account
spam	Free meeting offer just for you
ham	Family dinner tomorrow
ham	Project update regarding payment
